Rowid,Timestamp,Vehicle_num,Vehicle_type,Num_of_axles,Tollplaza_id,Tollplaza_code,Payment_type_code,Vehicle_Code
2.0,Sat Jul 31 04:09:44 2021,174434,CAR,2,4856.0,PC7C042B7,PTE,VC965
3.0,Sat Aug 14 17:19:04 2021,8538286,CAR,2,4154.0,PC2C2EF9E,PTP,VC965
4.0,Mon Aug  2 18:23:45 2021,5521221,CAR,2,4070.0,PCEECA8B2,PTE,VC965
5.0,Thu Jul 29 22:44:20 2021,3267767,CAR,2,4095.0,PC3E1512A,PTP,VC965
6.0,Sat Aug 14 03:57:47 2021,8411850,CAR,2,4135.0,PCC943ECD,PTE,VC965
7.0,Thu Aug 12 03:41:22 2021,6064250,CAR,2,4680.0,PCC422F4D,PTE,VC965
8.0,Sun Aug 22 10:29:58 2021,6871937,VAN,2,4702.0,PCDBC3AC9,PTE,VC965
9.0,Fri Aug  6 14:23:08 2021,2055930,CAR,2,4592.0,PC627AA14,PTE,VCD2F
10.0,Sun Aug 15 13:43:51 2021,8775910,CAR,2,4100.0,PCC6DD8D5,PTP,VC965
11.0,Wed Aug  4 15:52:13 2021,4525747,CAR,2,4143.0,PC5F47DCF,PTC,VC965
12.0,Wed Aug 18 02:22:15 2021,5276143,VAN,2,4466.0,PC6E93A05,PTE,VC965
13.0,Thu Aug 19 16:01:02 2021,5405144,VAN,2,4352.0,PC99B9343,PTC,VCD2F
14.0,Tue Aug  3 14:55:00 2021,9309466,CAR,2,4574.0,PCC1F6F13,PTP,VCD2F
15.0,Thu Aug  5 04:00:30 2021,6494070,VAN,2,4902.0,PC425C6EC,PTE,VC965
16.0,Sun Aug  8 13:08:17 2021,4880588,CAR,2,4012.0,PCEF5C190,PTC,VCD2F
17.0,Wed Aug  4 04:56:15 2021,6964507,CAR,2,4458.0,PCECEBBFA,PTE,VC965
18.0,Sun Aug 15 11:22:44 2021,5740782,TRUCK,4,4886.0,PC4D892D7,PTC,VC965
19.0,Fri Jul 30 11:20:47 2021,1060261,VAN,2,4680.0,PCC422F4D,PTP,VCB43
20.0,Sun Aug  8 21:22:56 2021,6599783,CAR,2,4899.0,PC4967767,PTP,VCD2F
21.0,Wed Aug 11 10:33:15 2021,4573378,CAR,2,4855.0,PC03C5C15,PTP,VC965
22.0,Fri Aug  6 02:02:33 2021,1362666,CAR,2,4737.0,PCED7EAFE,PTC,VC965
23.0,Mon Aug  9 05:07:58 2021,9227112,CAR,2,4140.0,PC5D4821F,PTP,VC965
24.0,Fri Aug 13 18:21:04 2021,1245885,CAR,2,4961.0,PC92C5115,PTP,VC965
25.0,Thu Aug 12 01:36:28 2021,6702238,CAR,2,4148.0,PCDFBBEBB,PTP,VC965
26.0,Wed Aug 11 04:05:21 2021,7598066,CAR,2,4630.0,PCA26D872,PTE,VC965
27.0,Sun Aug  8 19:09:41 2021,2959560,CAR,2,5003.0,PCAC9371E,PTP,VC965
28.0,Sun Aug  1 02:04:42 2021,9223690,CAR,2,4243.0,PCC4F7DCE,PTE,VC965
29.0,Sun Aug 15 11:11:42 2021,495967,CAR,2,4023.0,PC77793DF,PTP,VC965
30.0,Sat Aug 14 03:39:26 2021,1920115,CAR,2,4987.0,PCF4A9637,PTE,VC965
31.0,Wed Aug 18 23:33:41 2021,9940618,TRUCK,4,4755.0,PC628DCED,PTE,VC965
32.0,Fri Aug  6 10:18:54 2021,733942,CAR,2,4079.0,PCF1366ED,PTE,VCB43
33.0,Thu Aug 19 15:58:25 2021,3232373,TRUCK,4,4616.0,PCE6675F9,PTE,VC965
34.0,Thu Aug 19 07:23:18 2021,2164250,TRUCK,4,4245.0,PC6594AD4,PTP,VCB43
