Tollplaza_id,Tollplaza_code
4856,PC7C042B7
4154,PC2C2EF9E
4070,PCEECA8B2
4095,PC3E1512A
4135,PCC943ECD
4680,PCC422F4D
4702,PCDBC3AC9
4592,PC627AA14
4100,PCC6DD8D5
4143,PC5F47DCF
4466,PC6E93A05
4352,PC99B9343
4574,PCC1F6F13
4902,PC425C6EC
4012,PCEF5C190
4458,PCECEBBFA
4886,PC4D892D7
4680,PCC422F4D
4899,PC4967767
4855,PC03C5C15
4737,PCED7EAFE
4140,PC5D4821F
4961,PC92C5115
4148,PCDFBBEBB
4630,PCA26D872
5003,PCAC9371E
4243,PCC4F7DCE
4023,PC77793DF
4987,PCF4A9637
4755,PC628DCED
4079,PCF1366ED
4616,PCE6675F9
4245,PC6594AD4
4090,PC1EE951B
4383,PC4BFE950
4449,PCAACD453
4351,PC4E572D8
4159,PC5631507
4018,PCCB2657A
4827,PC7D68CD9
4115,PCF5D4B0A
4102,PC8C9B099
4398,PCE60D320
4918,PC8F8E598
4984,PCBABF130
4460,PCDF04952
4326,PC356AE8F
4600,PCB99E8F9
4735,PC2294422
4162,PC51A39A7
4012,PCEF5C190
4223,PCA37D114
4990,PCFE28E92
4154,PC2C2EF9E
4913,PC685427C
4388,PC803F0F2
4299,PCAD3B9BC
4725,PCB905D54
4229,PCD0DDD3D
4354,PC0671DD4
4127,PCA2D76A5
4522,PC0A326BE
4410,PC6EFC03B
4689,PC89C35AD
4296,PCA24C1E1
4303,PC2E2E0C0
4346,PCA35B156
4253,PC82A16E6
5007,PC869BDE8
4534,PCAD9E1F9
4742,PC05B8749
4944,PC41EEC34
4171,PC36C9AE8
4750,PCD987A9D
4878,PC08F56A1
4274,PC88EA64E
4377,PC4AC8EAD
4265,PC5B2AFFA
4304,PC89FB76E
4797,PCE2D63A7
4061,PC3A63A79
4085,PC6150735
4675,PCE49911B
4997,PC8111910
4241,PC7241796
4890,PCAFC8A56
4537,PC10C700F
4743,PCE6EEF2E
4026,PC2CE9851
4373,PC8806694
4116,PCCA836C9
4785,PC787D664
5002,PC585BD38
4728,PC07BF95F
4015,PC524833E
4817,PCFF02057
4857,PC59F4E22
4724,PC3DE08BF
4725,PCB905D54
4591,PCC9875AC
4792,PC3E35002
4927,PC2D22627
4397,PCB070250
4195,PC308070B
4336,PCD30AB50
4520,PC8140983
4328,PC3777B8E
4749,PC65C93B7
4990,PCFE28E92
4231,PC016D687
4643,PC6713209
4121,PCEC57A8E
4400,PC3BD7D63
4119,PC9EBEDB5
4695,PC4A5D62F
4495,PC210A754
4434,PCA491459
4299,PCAD3B9BC
4023,PC77793DF
4365,PC0F226DF
4582,PC98750ED
4119,PC9EBEDB5
4416,PC546F252
4898,PC0AE9E1B
4698,PC8BCEB19
4416,PC546F252
4993,PC0F0AB4E
4356,PCF1979AE
4504,PC461DCD3
4811,PCBF83C7A
4574,PCC1F6F13
4116,PCCA836C9
4049,PC4779D38
4435,PC3E78C17
4272,PC09BDC08
4929,PC9E503B6
4531,PC857F4A0
4222,PC15EC378
4657,PCC591410
4481,PC30AAE76
4145,PC5FBE4B8
4813,PCACF7982
4585,PCF3AE602
4924,PCE3427C5
4584,PC1085B78
4225,PCC1ED0C5
4719,PCBD66B01
4830,PC12EEFE0
4073,PCA3797CA
4954,PCA276EBB
4732,PCD83DE25
4155,PC9042B3F
4142,PC7ACFF7C
4737,PCED7EAFE
4337,PCCF6A454
4507,PC11DCA73
4092,PC40C2E00
4269,PCC7106FF
4610,PCA4D3E9B
4980,PCBD5C822
4295,PCD483999
4412,PC821BC98
4364,PCB33ACE8
4290,PC84E8CEF
4264,PC9DFEBB0
4412,PC821BC98
4712,PC94168A2
4603,PC485BE5B
4180,PC250A90D
4592,PC627AA14
4008,PC5680D80
4083,PC90346C9
4573,PC4D8469D
4642,PC17D596F
4693,PCB4CDDA5
4787,PC1BDA119
4989,PC7D7AE48
4803,PC2BBEEDC
4848,PCF0FC9B2
4377,PC4AC8EAD
4947,PCE4A44BE
4439,PC845CEA6
4346,PCA35B156
4718,PC81E83B9
4049,PC4779D38
4579,PC926F0A9
4985,PCCA71D2C
4356,PCF1979AE
4631,PCFFF6463
4898,PC0AE9E1B
4022,PCF135377
4586,PC4A40D50
4733,PC797AEBF
4764,PCF6B0D12
4466,PC6E93A05
4158,PCAA68777
4111,PC07F012A
4591,PCC9875AC
4015,PC524833E
4420,PCFDB2950
4924,PCE3427C5
4501,PC5D41947
4026,PC2CE9851
4280,PC03A5F23
4953,PC1E2B07E
4923,PC8A7A22A
4283,PC953B572
4899,PC4967767
4560,PC5030572
4037,PC0A50259
4610,PCA4D3E9B
4775,PCA50FB36
4414,PC40BD0F3
4915,PC86B0D7B
4618,PC8F4AF85
4909,PCDED6F20
4497,PC76FDDEA
4401,PC0606D6A
4284,PC0DB49FD
4235,PCFB11406
4482,PCB6A16D7
4981,PC6B14C5D
4175,PC08EA270
4188,PCDB12C82
4015,PC524833E
4230,PC19CE0DB
4686,PCD6E5E77
4123,PCDE850D8
4283,PC953B572
4016,PCCD7399B
4504,PC461DCD3
4377,PC4AC8EAD
4971,PC0BD172F
4031,PC0214185
4965,PCA0BAE0F
4350,PCEDD7E85
4232,PC4156AD5
4592,PC627AA14
4760,PC161AC8D
5002,PC585BD38
4974,PCDEB8E32
4361,PC2E0C888
4946,PCCF18BAF
4314,PC7E9E8F3
4784,PCDB42B34
4611,PC2EBEAB9
4515,PC6A1B37B
4531,PC857F4A0
4070,PCEECA8B2
4891,PC57036DA
4325,PC8FC83B3
4672,PC03AE86F
4147,PC4D2C5A7
4049,PC4779D38
4748,PCF2ECD29
4654,PCBA5D8AB
4890,PCAFC8A56
4972,PCC51AD39
4709,PCC8C7059
4788,PC00AE965
4306,PC5D6563A
4436,PC0CF9451
4039,PC73BE1E2
4612,PC871C1FC
4686,PCD6E5E77
4314,PC7E9E8F3
4608,PCACD1BEE
4063,PC7667A3E
4944,PC41EEC34
4246,PC95F5F6B
4438,PC665A28E
4234,PC5EBC1E1
4050,PC822E359
4721,PCE937423
4130,PC9F22103
4852,PC68969FB
4575,PC84D9FC1
4326,PC356AE8F
4694,PCBCF42C2
